group,ticker,fold,k,DirAcc,RMSE,naive,edge
DEVELOPMENT,XOM,2022,8,0.545816733067729,0.02250603322792303,0.5737051792828686,-2.788844621513953
DEVELOPMENT,XOM,2022,10,0.5338645418326693,0.02248808390758785,0.5737051792828686,-3.984063745019928
DEVELOPMENT,XOM,2022,12,0.5179282868525896,0.02246593967489947,0.5737051792828686,-5.577689243027894
DEVELOPMENT,XOM,2022,15,0.545816733067729,0.022432216213389474,0.5737051792828686,-2.788844621513953
DEVELOPMENT,XOM,2023,5,0.5,0.015694458713150266,0.508,-0.8000000000000007
DEVELOPMENT,XOM,2023,8,0.484,0.015677737419906464,0.508,-2.400000000000002
DEVELOPMENT,XOM,2023,10,0.484,0.015715841584521675,0.508,-2.400000000000002
DEVELOPMENT,XOM,2023,12,0.508,0.015682624180144725,0.508,0.0
DEVELOPMENT,XOM,2023,15,0.496,0.015736813111145588,0.508,-1.200000000000001
DEVELOPMENT,XOM,2024,5,0.488,0.012125322862363482,0.496,-0.8000000000000007
DEVELOPMENT,XOM,2024,8,0.464,0.012156863314813079,0.496,-3.1999999999999975
DEVELOPMENT,XOM,2024,10,0.492,0.012182867655000536,0.496,-0.40000000000000036
DEVELOPMENT,XOM,2024,12,0.488,0.012194129454248878,0.496,-0.8000000000000007
DEVELOPMENT,XOM,2024,15,0.48,0.012206168552133636,0.496,-1.6000000000000014
VALIDATION (unseen),NVDA,2022,5,0.4900398406374502,0.04056722988879712,0.4820717131474104,0.7968127490039834
VALIDATION (unseen),NVDA,2022,8,0.5378486055776892,0.04040949384936777,0.4820717131474104,5.5776892430278835
VALIDATION (unseen),NVDA,2022,10,0.4860557768924303,0.0404725003197238,0.4820717131474104,0.3984063745019917
VALIDATION (unseen),NVDA,2022,12,0.47410358565737054,0.040200624485380206,0.4820717131474104,-0.7968127490039834
VALIDATION (unseen),NVDA,2022,15,0.50199203187251,0.04004361658934227,0.4820717131474104,1.9920318725099584
VALIDATION (unseen),NVDA,2023,5,0.488,0.030367053308629384,0.568,-7.9999999999999964
VALIDATION (unseen),NVDA,2023,8,0.52,0.030003479583498954,0.568,-4.799999999999994
VALIDATION (unseen),NVDA,2023,10,0.52,0.030099657493850396,0.568,-4.799999999999994
VALIDATION (unseen),NVDA,2023,12,0.488,0.03012427038169957,0.568,-7.9999999999999964
VALIDATION (unseen),NVDA,2023,15,0.476,0.03009777093618787,0.568,-9.199999999999998
VALIDATION (unseen),NVDA,2024,5,0.47808764940239046,0.03325358751657303,0.5577689243027888,-7.968127490039834
VALIDATION (unseen),NVDA,2024,8,0.5418326693227091,0.03305349809882265,0.5577689243027888,-1.5936254980079667
VALIDATION (unseen),NVDA,2024,10,0.5298804780876494,0.03324925686150354,0.5577689243027888,-2.7888446215139417
VALIDATION (unseen),NVDA,2024,12,0.5059760956175299,0.033176636017653735,0.5577689243027888,-5.179282868525892
VALIDATION (unseen),NVDA,2024,15,0.5059760956175299,0.033178326259067664,0.5577689243027888,-5.179282868525892
VALIDATION (unseen),ADBE,2022,5,0.43824701195219123,0.03546393891176423,0.46613545816733065,-2.7888446215139417
VALIDATION (unseen),ADBE,2022,8,0.46215139442231074,0.03433664459369594,0.46613545816733065,-0.3984063745019917
VALIDATION (unseen),ADBE,2022,10,0.4342629482071713,0.03466540266850082,0.46613545816733065,-3.1872509960159334
VALIDATION (unseen),ADBE,2022,12,0.44621513944223107,0.034524179658583176,0.46613545816733065,-1.9920318725099584
VALIDATION (unseen),ADBE,2022,15,0.46215139442231074,0.034419815479272496,0.46613545816733065,-0.3984063745019917
VALIDATION (unseen),ADBE,2023,5,0.548,0.021069560379327276,0.536,1.200000000000001
VALIDATION (unseen),ADBE,2023,8,0.496,0.020750067290055074,0.536,-4.0000000000000036
VALIDATION (unseen),ADBE,2023,10,0.468,0.02087731130306129,0.536,-6.800000000000001
VALIDATION (unseen),ADBE,2023,12,0.464,0.02082191742023254,0.536,-7.200000000000001
VALIDATION (unseen),ADBE,2023,15,0.476,0.020810218998754723,0.536,-6.000000000000005
VALIDATION (unseen),ADBE,2024,5,0.5378486055776892,0.023752189679312433,0.47808764940239046,5.976095617529875
VALIDATION (unseen),ADBE,2024,8,0.50199203187251,0.023556295898233916,0.47808764940239046,2.39043824701195
VALIDATION (unseen),ADBE,2024,10,0.4900398406374502,0.023727147991645235,0.47808764940239046,1.195219123505975
VALIDATION (unseen),ADBE,2024,12,0.50199203187251,0.023726337467154014,0.47808764940239046,2.39043824701195
VALIDATION (unseen),ADBE,2024,15,0.4701195219123506,0.023625862230574033,0.47808764940239046,-0.7968127490039834
VALIDATION (unseen),CRM,2022,5,0.49800796812749004,0.02986115808252868,0.4581673306772908,3.984063745019922
VALIDATION (unseen),CRM,2022,8,0.5059760956175299,0.030175018997653843,0.4581673306772908,4.7808764940239055
VALIDATION (unseen),CRM,2022,10,0.46613545816733065,0.030302574605636474,0.4581673306772908,0.7968127490039834
VALIDATION (unseen),CRM,2022,12,0.49800796812749004,0.030222967009420208,0.4581673306772908,3.984063745019922
VALIDATION (unseen),CRM,2022,15,0.4860557768924303,0.030208391879201425,0.4581673306772908,2.788844621513947
VALIDATION (unseen),CRM,2023,5,0.516,0.018943946488432596,0.544,-2.8000000000000025
VALIDATION (unseen),CRM,2023,8,0.544,0.018513491857580097,0.544,0.0
VALIDATION (unseen),CRM,2023,10,0.552,0.018576484461231235,0.544,0.8000000000000007
VALIDATION (unseen),CRM,2023,12,0.532,0.01870943962778906,0.544,-1.200000000000001
VALIDATION (unseen),CRM,2023,15,0.556,0.018670109432695505,0.544,1.200000000000001
VALIDATION (unseen),CRM,2024,5,0.549800796812749,0.02338377960330226,0.5298804780876494,1.9920318725099584
VALIDATION (unseen),CRM,2024,8,0.5617529880478087,0.023118612673291357,0.5298804780876494,3.1872509960159334
VALIDATION (unseen),CRM,2024,10,0.549800796812749,0.023042344493244098,0.5298804780876494,1.9920318725099584
VALIDATION (unseen),CRM,2024,12,0.549800796812749,0.023086008800310455,0.5298804780876494,1.9920318725099584
VALIDATION (unseen),CRM,2024,15,0.5378486055776892,0.023121210261813165,0.5298804780876494,0.7968127490039834
VALIDATION (unseen),JNJ,2022,5,0.4342629482071713,0.011070510190649776,0.4900398406374502,-5.577689243027889
VALIDATION (unseen),JNJ,2022,8,0.47808764940239046,0.011012590780811416,0.4900398406374502,-1.195219123505975
VALIDATION (unseen),JNJ,2022,10,0.4820717131474104,0.01096926992442489,0.4900398406374502,-0.7968127490039834
VALIDATION (unseen),JNJ,2022,12,0.46613545816733065,0.010999335883992212,0.4900398406374502,-2.3904382470119554
VALIDATION (unseen),JNJ,2022,15,0.4701195219123506,0.011037990392848014,0.4900398406374502,-1.9920318725099584
VALIDATION (unseen),JNJ,2023,5,0.448,0.01057428162127036,0.48,-3.1999999999999975
VALIDATION (unseen),JNJ,2023,8,0.472,0.010582465582440297,0.48,-0.8000000000000007
VALIDATION (unseen),JNJ,2023,10,0.444,0.010675650167063844,0.48,-3.599999999999998
VALIDATION (unseen),JNJ,2023,12,0.464,0.010685432615978766,0.48,-1.5999999999999959
VALIDATION (unseen),JNJ,2023,15,0.476,0.010645956653898163,0.48,-0.40000000000000036
VALIDATION (unseen),JNJ,2024,5,0.5179282868525896,0.009477420724069175,0.5139442231075697,0.3984063745019917
VALIDATION (unseen),JNJ,2024,8,0.5059760956175299,0.00949024831453103,0.5139442231075697,-0.7968127490039834
VALIDATION (unseen),JNJ,2024,10,0.5298804780876494,0.009444610002873749,0.5139442231075697,1.5936254980079667
VALIDATION (unseen),JNJ,2024,12,0.5537848605577689,0.009432921883335837,0.5139442231075697,3.984063745019917
VALIDATION (unseen),JNJ,2024,15,0.5258964143426295,0.009465397336409723,0.5139442231075697,1.195219123505975
VALIDATION (unseen),PFE,2022,5,0.5418326693227091,0.01697657619992771,0.4820717131474104,5.976095617529875
VALIDATION (unseen),PFE,2022,8,0.5378486055776892,0.016831735673665946,0.4820717131474104,5.5776892430278835
VALIDATION (unseen),PFE,2022,10,0.545816733067729,0.016808156599705425,0.4820717131474104,6.374501992031867
VALIDATION (unseen),PFE,2022,12,0.5179282868525896,0.01683089316338599,0.4820717131474104,3.585657370517925
VALIDATION (unseen),PFE,2022,15,0.5219123505976095,0.01689335535533891,0.4820717131474104,3.984063745019917
